full_name,team,Position,Price,round,opponent_team,was_home,minutes,total_points,element,fixture,kickoff_time,team_h_score,team_a_score,modified,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out
david_raya martín,Arsenal,GK,6.0,2,Aston Villa,False,90,6,1,20,2026-08-31T19:00:00Z,0,1,False,0,0,1,0,0,0,0,0,0,0,0,21,5.6,0.0,0.0,0.6,1,11,0,0,1,0.00,0.00,0.00,0.33,60,24756,3801300,106734,81978
kepa_arrizabalaga revuelta,Arsenal,GK,5.0,2,Aston Villa,False,0,0,2,20,2026-08-31T19:00:00Z,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,-1067,7844,322,1389
illan_meslier,Arsenal,GK,5.0,2,Aston Villa,False,0,0,3,20,2026-08-31T19:00:00Z,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,-391,3125,101,492
gabriel_dos santos magalhães,Arsenal,DF,8.0,2,Aston Villa,False,90,8,4,20,2026-08-31T19:00:00Z,0,1,False,0,0,1,0,0,0,0,0,0,0,0,23,18.2,3.2,6.0,2.7,8,5,2,10,1,0.13,0.02,0.15,0.33,80,-65343,2878770,58765,124108
jurriën_timber,Arsenal,DF,6.5,2,Aston Villa,False,0,0,5,20,2026-08-31T19:00:00Z,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,65,-2703,9810,401,3104
william_saliba,Arsenal,DF,6.0,2,Aston Villa,False,0,0,6,20,2026-08-31T19:00:00Z,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,60,-5970,25581,846,6816
myles_lewis-skelly,Arsenal,MD,5.5,2,Aston Villa,False,70,3,7,20,2026-08-31T19:00:00Z,0,1,False,0,0,1,0,0,0,0,0,0,0,0,15,10.6,3.2,5.0,1.9,4,1,0,5,1,0.07,0.02,0.09,0.33,55,642,70615,9693,9051
riccardo_calafiori,Arsenal,DF,5.6,2,Aston Villa,False,90,11,8,20,2026-08-31T19:00:00Z,0,1,False,0,1,1,0,0,0,0,0,0,0,2,30,21.2,11.9,9.0,4.2,2,4,1,3,1,0.11,0.46,0.57,0.33,56,268472,4150694,310105,41633
piero_hincapié,Arsenal,DF,5.4,2,Aston Villa,False,0,0,9,20,2026-08-31T19:00:00Z,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,54,-37136,145234,3910,41046
benjamin_white,Arsenal,DF,5.5,2,Aston Villa,False,90,7,10,20,2026-08-31T19:00:00Z,0,1,False,0,0,1,0,0,0,0,0,0,0,1,26,16.4,20.3,0.0,3.7,3,2,1,4,1,0.00,0.05,0.05,0.33,55,119886,683136,144941,25055
