full_name,team,Position,Price,round,opponent_team,was_home,minutes,total_points,element,fixture,kickoff_time,team_h_score,team_a_score,modified,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out
david_raya martín,Arsenal,GK,6.0,1,Coventry City,True,90,6,1,1,2026-08-21T19:00:00Z,3,0,False,0,0,1,0,0,0,0,0,0,1,0,24,11.8,0.0,0.0,1.2,1,8,0,0,1,0.00,0.00,0.00,0.20,60,0,3347153,0,0
kepa_arrizabalaga revuelta,Arsenal,GK,5.0,1,Coventry City,True,0,0,2,1,2026-08-21T19:00:00Z,3,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,0,7415,0,0
illan_meslier,Arsenal,GK,5.0,1,Coventry City,True,0,0,3,1,2026-08-21T19:00:00Z,3,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,0,2971,0,0
gabriel_dos santos magalhães,Arsenal,DF,8.0,1,Coventry City,True,90,5,4,1,2026-08-21T19:00:00Z,3,0,False,0,0,1,0,0,0,0,1,0,0,0,21,6.6,1.8,1.0,0.9,4,2,0,4,1,0.05,0.01,0.06,0.20,80,0,2647984,0,0
jurriën_timber,Arsenal,DF,6.5,1,Coventry City,True,0,0,5,1,2026-08-21T19:00:00Z,3,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,65,0,11200,0,0
william_saliba,Arsenal,DF,6.0,1,Coventry City,True,0,0,6,1,2026-08-21T19:00:00Z,3,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,60,0,26559,0,0
myles_lewis-skelly,Arsenal,MD,5.5,1,Coventry City,True,90,3,7,1,2026-08-21T19:00:00Z,3,0,False,0,0,1,0,0,0,0,0,0,0,0,15,11.0,22.9,7.0,4.1,1,5,1,7,1,0.06,0.11,0.17,0.20,55,0,55656,0,0
riccardo_calafiori,Arsenal,DF,5.5,1,Coventry City,True,80,9,8,1,2026-08-21T19:00:00Z,3,0,False,0,1,1,0,0,0,0,0,0,0,0,31,26.0,12.2,4.0,4.2,4,1,1,5,1,0.04,0.09,0.13,0.06,55,0,3542684,0,0
piero_hincapié,Arsenal,DF,5.5,1,Coventry City,True,9,1,9,1,2026-08-21T19:00:00Z,3,0,False,0,0,0,0,0,0,0,0,0,0,0,3,0.4,0.5,0.0,0.1,0,0,0,0,0,0.00,0.00,0.00,0.15,55,0,165924,0,0
benjamin_white,Arsenal,DF,5.5,1,Coventry City,True,90,11,10,1,2026-08-21T19:00:00Z,3,0,False,0,1,1,0,0,0,0,0,0,0,2,37,33.2,26.8,13.0,7.3,4,3,1,5,1,0.18,0.21,0.39,0.20,55,0,401419,0,0
cristhian_mosquera,Arsenal,DF,5.5,1,Coventry City,True,90,6,11,1,2026-08-21T19:00:00Z,3,0,False,0,0,1,0,0,0,0,0,0,0,0,27,14.4,0.6,0.0,1.5,6,3,0,6,1,0.00,0.00,0.00,0.20,55,0,571606,0,0
bukayo_saka,Arsenal,MD,9.5,1,Coventry City,True,67,9,12,1,2026-08-21T19:00:00Z,3,0,False,1,0,1,0,0,0,0,0,0,0,1,36,42.8,26.1,33.0,10.2,2,4,1,7,1,0.64,0.08,0.72,0.06,95,0,819914,0,0
declan_rice,Arsenal,MD,7.5,1,Coventry City,True,67,3,13,1,2026-08-21T19:00:00Z,3,0,False,0,0,1,0,0,0,0,0,0,0,0,10,6.8,6.4,2.0,1.5,3,3,0,6,1,0.07,0.08,0.15,0.06,75,0,1604406,0,0
eberechi_eze,Arsenal,MD,6.5,1,Coventry City,True,14,1,14,1,2026-08-21T19:00:00Z,3,0,False,0,0,0,0,0,0,0,0,0,0,0,4,0.0,1.8,1.0,0.1,0,2,0,2,0,0.04,0.00,0.04,0.15,65,0,188164,0,0
martin_ødegaard,Arsenal,MD,6.5,1,Coventry City,True,75,11,15,1,2026-08-21T19:00:00Z,3,0,False,1,0,1,0,0,0,0,0,0,0,3,41,50.6,41.5,31.0,12.3,1,4,3,8,1,0.21,0.10,0.31,0.06,65,0,717252,0,0
noni_madueke,Arsenal,MD,6.5,1,Coventry City,True,22,1,16,1,2026-08-21T19:00:00Z,3,0,False,0,0,0,0,0,0,0,0,0,0,0,8,9.4,43.1,0.0,5.3,0,2,0,2,0,0.00,0.04,0.04,0.15,65,0,30442,0,0
mikel_merino zazón,Arsenal,MD,6.0,1,Coventry City,True,14,1,17,1,2026-08-21T19:00:00Z,3,0,False,0,0,0,0,0,0,0,0,0,0,0,5,3.6,1.2,14.0,1.9,0,2,0,2,0,0.14,0.02,0.16,0.15,60,0,62671,0,0
gabriel_martinelli silva,Arsenal,MD,6.5,1,Coventry City,True,0,0,18,1,2026-08-21T19:00:00Z,3,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,65,0,21290,0,0
martín_zubimendi ibáñez,Arsenal,MD,5.5,1,Coventry City,True,22,1,19,1,2026-08-21T19:00:00Z,3,0,False,0,0,0,0,0,0,0,0,0,0,0,3,3.8,2.3,0.0,0.6,0,2,1,3,0,0.00,0.02,0.02,0.15,55,0,107568,0,0
max_dowman,Arsenal,MD,5.5,1,Coventry City,True,0,0,20,1,2026-08-21T19:00:00Z,3,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,0,8920,0,0
ethan_nwaneri,Arsenal,MD,5.5,1,Coventry City,True,0,0,22,1,2026-08-21T19:00:00Z,3,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,0,1260,0,0
fábio_ferreira vieira,Arsenal,MD,5.5,1,Coventry City,True,0,0,23,1,2026-08-21T19:00:00Z,3,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,0,892,0,0
reiss_nelson,Arsenal,MD,5.5,1,Coventry City,True,0,0,24,1,2026-08-21T19:00:00Z,3,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,0,853,0,0
viktor_gyökeres,Arsenal,FW,7.5,1,Coventry City,True,0,0,25,1,2026-08-21T19:00:00Z,3,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,75,0,816962,0,0
kai_havertz,Arsenal,FW,7.5,1,Coventry City,True,90,6,26,1,2026-08-21T19:00:00Z,3,0,False,1,0,1,0,0,0,0,0,0,0,0,34,37.2,13.2,25.0,7.5,2,0,0,2,1,0.26,0.03,0.29,0.20,75,0,468616,0,0
gabriel_fernando de jesus,Arsenal,FW,6.0,1,Coventry City,True,0,0,27,1,2026-08-21T19:00:00Z,3,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,60,0,31403,0,0
ezri_konsa ngoyo,Arsenal,DF,4.5,1,Coventry City,True,0,0,31,1,2026-08-21T19:00:00Z,3,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,45,0,1206127,0,0
bruno_guimarães rodriguez moura,Arsenal,MD,7.0,1,Coventry City,True,0,0,452,1,2026-08-21T19:00:00Z,3,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,70,0,391151,0,0
christos_tzolis,Arsenal,MD,6.5,1,Coventry City,True,75,6,557,1,2026-08-21T19:00:00Z,3,0,False,0,1,1,0,0,0,0,0,0,0,0,30,17.0,39.8,30.0,8.7,2,3,1,6,1,0.19,0.14,0.33,0.06,65,0,2247384,0,0
