full_name,team,Position,Price,round,opponent_team,was_home,minutes,total_points,element,fixture,kickoff_time,team_h_score,team_a_score,modified,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out
david_raya martín,Arsenal,GK,6.0,3,Chelsea,True,90,3,1,29,2026-09-06T15:30:00Z,2,1,False,0,0,0,1,0,0,0,0,0,4,0,15,28.8,0.0,0.0,2.9,2,11,0,0,1,0.00,0.01,0.01,0.39,60,-23780,3887669,204948,228728
kepa_arrizabalaga revuelta,Arsenal,GK,5.0,3,Chelsea,True,0,0,2,29,2026-09-06T15:30:00Z,2,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,-615,8025,599,1214
illan_meslier,Arsenal,GK,5.0,3,Chelsea,True,0,0,3,29,2026-09-06T15:30:00Z,2,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,-287,3143,172,459
gabriel_dos santos magalhães,Arsenal,DF,8.0,3,Chelsea,True,90,2,4,29,2026-09-06T15:30:00Z,2,1,False,0,0,0,1,0,0,0,0,0,0,0,10,23.6,2.4,76.0,10.2,7,4,0,7,1,0.31,0.02,0.33,0.39,80,-298759,2590027,46883,345642
jurriën_timber,Arsenal,DF,6.5,3,Chelsea,True,0,0,5,29,2026-09-06T15:30:00Z,2,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,65,-1892,8594,549,2441
william_saliba,Arsenal,DF,6.0,3,Chelsea,True,0,0,6,29,2026-09-06T15:30:00Z,2,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,60,-4380,23846,1102,5482
myles_lewis-skelly,Arsenal,MD,5.5,3,Chelsea,True,66,2,7,29,2026-09-06T15:30:00Z,2,1,False,0,0,0,1,0,0,0,0,0,0,0,5,0.0,12.7,4.0,1.0,0,2,0,2,1,0.03,0.10,0.13,0.26,55,-4641,71335,8849,13490
riccardo_calafiori,Arsenal,DF,5.7,3,Chelsea,True,66,2,8,29,2026-09-06T15:30:00Z,2,1,False,0,0,0,1,0,0,0,0,0,0,0,0,4.4,3.2,26.0,3.4,0,1,1,1,1,0.39,0.03,0.42,0.26,57,396923,4639050,515479,118556
piero_hincapié,Arsenal,DF,5.4,3,Chelsea,True,23,1,9,29,2026-09-06T15:30:00Z,2,1,False,0,0,0,0,0,0,0,0,0,0,0,3,6.0,0.5,2.0,0.9,2,0,1,3,0,0.00,0.00,0.00,0.13,54,-31216,119369,4425,35641
benjamin_white,Arsenal,DF,5.5,3,Chelsea,True,90,2,10,29,2026-09-06T15:30:00Z,2,1,False,0,0,0,1,0,0,0,0,0,0,0,11,15.8,5.1,10.0,3.1,4,4,2,6,1,0.00,0.03,0.03,0.39,55,45919,745511,163295,117376
cristhian_mosquera,Arsenal,DF,5.5,3,Chelsea,True,0,0,11,29,2026-09-06T15:30:00Z,2,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,-114822,438589,13546,128368
bukayo_saka,Arsenal,MD,9.5,3,Chelsea,True,89,2,12,29,2026-09-06T15:30:00Z,2,1,False,0,0,0,1,0,0,0,0,0,0,0,13,10.6,27.8,70.0,10.8,1,2,1,4,1,0.23,0.23,0.46,0.39,95,55091,1160318,156377,101286
declan_rice,Arsenal,MD,7.5,3,Chelsea,True,90,5,13,29,2026-09-06T15:30:00Z,2,1,False,0,1,0,1,0,0,0,0,0,0,0,22,33.8,19.9,2.0,5.6,5,1,0,6,1,0.03,0.08,0.11,0.39,75,-227106,1465517,21785,248891
eberechi_eze,Arsenal,MD,6.4,3,Chelsea,True,0,0,14,29,2026-09-06T15:30:00Z,2,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,64,-32301,146059,8271,40572
martin_ødegaard,Arsenal,MD,6.6,3,Chelsea,True,76,10,15,29,2026-09-06T15:30:00Z,2,1,False,1,0,0,1,0,0,0,0,0,0,3,47,45.0,54.2,30.0,12.9,0,3,0,3,1,0.72,0.88,1.60,0.27,66,-52949,1130521,119653,172602
noni_madueke,Arsenal,MD,6.3,3,Chelsea,True,1,1,16,29,2026-09-06T15:30:00Z,2,1,False,0,0,0,0,0,0,0,0,0,0,0,3,2.2,0.8,0.0,0.3,0,0,1,1,0,0.00,0.01,0.01,0.00,63,-6797,24885,1276,8073
mikel_merino zazón,Arsenal,MD,5.9,3,Chelsea,True,13,0,17,29,2026-09-06T15:30:00Z,2,1,False,0,0,0,0,0,0,0,1,0,0,0,0,0.0,1.1,0.0,0.1,0,0,0,0,0,0.00,0.00,0.00,0.11,59,-10808,51449,3061,13869
gabriel_martinelli silva,Arsenal,MD,6.3,3,Chelsea,True,0,0,18,29,2026-09-06T15:30:00Z,2,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,63,-5441,15232,1165,6606
martín_zubimendi ibáñez,Arsenal,MD,5.4,3,Chelsea,True,23,1,19,29,2026-09-06T15:30:00Z,2,1,False,0,0,0,0,0,0,0,0,0,0,0,1,1.4,0.8,11.0,1.3,4,0,0,4,0,0.08,0.02,0.10,0.13,54,-16532,80922,3485,20017
max_dowman,Arsenal,MD,5.4,3,Chelsea,True,0,0,20,29,2026-09-06T15:30:00Z,2,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,54,-1389,7381,608,1997
ethan_nwaneri,Arsenal,MD,5.4,3,Chelsea,True,0,0,22,29,2026-09-06T15:30:00Z,2,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,54,-270,1107,157,427
fábio_ferreira vieira,Arsenal,MD,5.5,3,Chelsea,True,0,0,23,29,2026-09-06T15:30:00Z,2,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,-136,972,175,311
reiss_nelson,Arsenal,MD,5.5,3,Chelsea,True,0,0,24,29,2026-09-06T15:30:00Z,2,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,55,-299,662,4,303
viktor_gyökeres,Arsenal,FW,7.3,3,Chelsea,True,12,1,25,29,2026-09-06T15:30:00Z,2,1,False,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.1,0.0,0.0,0,1,0,1,0,0.00,0.00,0.00,0.11,73,-192830,466852,8161,200991
kai_havertz,Arsenal,FW,7.5,3,Chelsea,True,77,8,26,29,2026-09-06T15:30:00Z,2,1,False,1,0,0,1,0,0,0,0,0,0,2,38,43.0,37.0,57.0,13.7,1,0,0,1,1,0.27,0.27,0.54,0.27,75,-68870,686572,72519,141389
