date,home,away,line,home_score,away_score,home_lgt,home_stdc,home_power,away_lgt,away_stdc,away_power,system_num,system_bet,result
23-09-07,Chiefs,Lions,-4.5,20,21,-1.0,0.0,8.1,-2.0,0.0,-0.8,1,,
23-09-10,Falcons,Panthers,-3.5,24,10,0.0,0.0,0.5,1.0,0.0,-0.4,-2,,
23-09-10,Browns,Bengals,2.0,24,3,1.0,0.0,0.8,1.0,0.0,7.3,-1,,
23-09-10,Colts,Jaguars,4.5,21,31,0.0,0.0,-6.8,2.0,0.0,-0.5,-2,,
23-09-10,Commanders,Cardinals,-7.0,20,16,-1.0,0.0,0.1,4.0,0.0,-4.6,-3,Cardinals,W
23-09-10,Ravens,Texans,-9.5,25,9,1.0,0.0,-0.3,0.0,0.0,-6.8,0,,
23-09-10,Vikings,Buccaneers,-5.0,17,20,0.0,0.0,0.9,1.0,0.0,-0.5,-2,,
23-09-10,Saints,Titans,-3.0,16,15,-1.0,0.0,1.8,1.0,0.0,-5.0,-1,,
23-09-10,Steelers,49ers,2.0,7,30,-1.0,0.0,0.0,3.0,0.0,7.0,-3,49ers,W
23-09-10,Bears,Packers,-1.0,20,38,0.0,0.0,-6.3,2.0,0.0,0.4,-2,,
23-09-10,Broncos,Raiders,-3.5,16,17,0.0,0.0,-0.3,2.0,0.0,-3.3,-2,,
23-09-10,Chargers,Dolphins,-3.0,34,36,-5.0,0.0,-2.8,-1.0,0.0,0.6,-1,,
23-09-10,Patriots,Eagles,3.5,20,25,0.0,0.0,0.2,1.0,0.0,7.6,-2,,
23-09-10,Seahawks,Rams,-5.0,13,30,2.0,0.0,-2.9,-1.0,0.0,-5.1,1,,
23-09-10,Giants,Cowboys,3.5,0,40,1.0,0.0,-4.7,1.0,0.0,10.5,-1,,
23-09-11,Jets,Bills,2.0,22,16,0.0,0.0,0.3,1.0,0.0,5.0,-2,,
23-09-14,Eagles,Vikings,-6.0,34,28,-1.0,1.0,7.8,3.0,-1.0,2.9,-5,Vikings,
23-09-17,Falcons,Packers,-1.5,25,24,-3.0,1.0,0.1,-2.0,1.0,0.8,-1,,
23-09-17,Bills,Raiders,-8.0,38,10,3.0,-1.0,5.4,1.0,1.0,-4.0,3,Bills,W
23-09-17,Buccaneers,Bears,-2.5,27,17,-3.0,1.0,0.0,2.0,-1.0,-2.7,-3,Bears,L
23-09-17,Bengals,Ravens,-3.0,24,27,-2.0,-1.0,6.7,1.0,1.0,-0.1,1,,
23-09-17,Texans,Colts,-1.0,20,31,-1.0,-1.0,-6.1,1.0,-1.0,-6.2,-3,Colts,W
23-09-17,Lions,Seahawks,-4.5,31,37,0.0,1.0,1.9,0.0,-1.0,-4.2,-1,,
