Date,Home Team,Away Team,Home Score,Away Score,Home Line Open,Home Line Close,Neutral Venue?,Playoff Game?
2026-09-09,Seattle Seahawks,New England Patriots,13.0,10.0,,-3.5,,
2026-09-10,Los Angeles Rams,San Francisco 49ers,7.0,27.0,,-3.5,Y,
2026-09-13,Pittsburgh Steelers,Atlanta Falcons,,,,-6.5,,
2026-09-13,Houston Texans,Buffalo Bills,,,,1.5,,
2026-09-13,Carolina Panthers,Chicago Bears,,,,2.5,,
2026-09-13,Jacksonville Jaguars,Cleveland Browns,,,,-8.5,,
2026-09-13,Detroit Lions,New Orleans Saints,,,,-6.5,,
2026-09-13,Tennessee Titans,New York Jets,,,,-1.5,,
2026-09-13,Indianapolis Colts,Baltimore Ravens,,,,2.5,,
2026-09-13,Cincinnati Bengals,Tampa Bay Buccaneers,,,,-3.5,,
2026-09-13,Los Angeles Chargers,Arizona Cardinals,,,,-8.5,,
2026-09-13,Minnesota Vikings,Green Bay Packers,,,,-2.5,,
2026-09-13,Las Vegas Raiders,Miami Dolphins,,,,-3.5,,
2026-09-13,Philadelphia Eagles,Washington Commanders,,,,-5.5,,
2026-09-13,New York Giants,Dallas Cowboys,,,,3.5,,
2026-09-14,Kansas City Chiefs,Denver Broncos,,,,-2.5,,
2026-09-17,Buffalo Bills,Detroit Lions,,,,-3.5,,
2026-09-20,Atlanta Falcons,Carolina Panthers,,,,-1.5,,
2026-09-20,Houston Texans,Cincinnati Bengals,,,,-3.0,,
2026-09-20,Tampa Bay Buccaneers,Cleveland Browns,,,,-8.5,,
2026-09-20,New York Jets,Green Bay Packers,,,,4.5,,
2026-09-20,Chicago Bears,Minnesota Vikings,,,,-5.5,,
2026-09-20,Baltimore Ravens,New Orleans Saints,,,,-8.5,,
2026-09-20,Tennessee Titans,Philadelphia Eagles,,,,7.0,,
2026-09-20,New England Patriots,Pittsburgh Steelers,,,,-5.5,,
2026-09-20,Denver Broncos,Jacksonville Jaguars,,,,-2.5,,
2026-09-20,Los Angeles Chargers,Las Vegas Raiders,,,,-7.0,,
2026-09-20,San Francisco 49ers,Miami Dolphins,,,,-12.5,,
2026-09-20,Arizona Cardinals,Seattle Seahawks,,,,4.5,,
2026-09-20,Dallas Cowboys,Washington Commanders,,,,-4.5,,
2026-09-20,Kansas City Chiefs,Indianapolis Colts,,,,-6.5,,
2026-09-21,Los Angeles Rams,New York Giants,,,,-7.0,,
2026-09-24,Green Bay Packers,Atlanta Falcons,,,,,,
2026-09-27,Cleveland Browns,Carolina Panthers,,,,,,
2026-09-27,Pittsburgh Steelers,Cincinnati Bengals,,,,,,
2026-09-27,Indianapolis Colts,Houston Texans,,,,,,
2026-09-27,Miami Dolphins,Kansas City Chiefs,,,,,,
2026-09-27,Jacksonville Jaguars,New England Patriots,,,,,,
2026-09-27,Detroit Lions,New York Jets,,,,,,
2026-09-27,New York Giants,Tennessee Titans,,,,,,
2026-09-27,Buffalo Bills,Los Angeles Chargers,,,,,,
2026-09-27,Washington Commanders,Seattle Seahawks,,,,,,
2026-09-27,San Francisco 49ers,Arizona Cardinals,,,,,,
2026-09-27,Tampa Bay Buccaneers,Minnesota Vikings,,,,,,
2026-09-27,New Orleans Saints,Las Vegas Raiders,,,,,,
2026-09-27,Dallas Cowboys,Baltimore Ravens,,,,,Y,
2026-09-27,Denver Broncos,Los Angeles Rams,,,,,,
2026-09-28,Chicago Bears,Philadelphia Eagles,,,,,,
2026-10-01,Cleveland Browns,Pittsburgh Steelers,,,,,,
2026-10-04,Washington Commanders,Indianapolis Colts,,,,,Y,
2026-10-04,New York Giants,Arizona Cardinals,,,,,,
2026-10-04,Houston Texans,Dallas Cowboys,,,,,,
2026-10-04,Tampa Bay Buccaneers,Green Bay Packers,,,,,,
2026-10-04,Cincinnati Bengals,Jacksonville Jaguars,,,,,,
2026-10-04,Buffalo Bills,New England Patriots,,,,,,
2026-10-04,Chicago Bears,New York Jets,,,,,,
2026-10-04,Baltimore Ravens,Tennessee Titans,,,,,,
2026-10-04,Philadelphia Eagles,Los Angeles Rams,,,,,,
2026-10-04,Minnesota Vikings,Miami Dolphins,,,,,,
2026-10-04,San Francisco 49ers,Denver Broncos,,,,,,
2026-10-04,Las Vegas Raiders,Kansas City Chiefs,,,,,,
2026-10-04,Seattle Seahawks,Los Angeles Chargers,,,,,,
2026-10-04,Carolina Panthers,Detroit Lions,,,,,,
2026-10-05,New Orleans Saints,Atlanta Falcons,,,,,,
2026-10-08,Dallas Cowboys,Tampa Bay Buccaneers,,,,,,
2026-10-11,Jacksonville Jaguars,Philadelphia Eagles,,,,,,
2026-10-11,Miami Dolphins,Cincinnati Bengals,,,,,,
2026-10-11,New York Jets,Cleveland Browns,,,,,,
2026-10-11,Pittsburgh Steelers,Indianapolis Colts,,,,,,
2026-10-11,Tennessee Titans,Houston Texans,,,,,,
