round,date,home,away,neutral,line,line_source,home_score,away_score,home_turnovers_conceded,away_turnovers_conceded,home_turnovers_won,away_turnovers_won
1,2026-09-25,Benetton,Dragons,,-9.5,,,,,,,
1,2026-09-25,Connacht,Stormers,,-1.5,,,,,,,
1,2026-09-25,Ulster,Edinburgh,,-11.5,,,,,,,
1,2026-09-26,Lions,Leinster,,7.5,,,,,,,
1,2026-09-26,Munster,Glasgow,,-2.5,,,,,,,
1,2026-09-26,Scarlets,Cardiff,,1.5,,,,,,,
1,2026-09-26,Sharks,Ospreys,,-12.5,,,,,,,
1,2026-09-26,Zebre,Bulls,,11.5,,,,,,,
2,2026-10-02,Benetton,Connacht,,,,,,,,,
2,2026-10-02,Cardiff,Zebre,,,,,,,,,
2,2026-10-02,Edinburgh,Stormers,,,,,,,,,
2,2026-10-03,Dragons,Scarlets,,,,,,,,,
2,2026-10-03,Glasgow,Ulster,,,,,,,,,
2,2026-10-03,Lions,Ospreys,,,,,,,,,
2,2026-10-03,Munster,Bulls,,,,,,,,,
2,2026-10-03,Sharks,Leinster,,,,,,,,,
3,2026-10-09,Dragons,Ospreys,,,,,,,,,
3,2026-10-09,Glasgow,Connacht,,,,,,,,,
3,2026-10-10,Bulls,Lions,,,,,,,,,
3,2026-10-10,Leinster,Cardiff,,,,,,,,,
3,2026-10-10,Scarlets,Benetton,,,,,,,,,
3,2026-10-10,Stormers,Sharks,,,,,,,,,
3,2026-10-10,Ulster,Munster,,,,,,,,,
3,2026-10-10,Zebre,Edinburgh,,,,,,,,,
4,2026-10-23,Cardiff,Sharks,,,,,,,,,
4,2026-10-23,Connacht,Zebre,,,,,,,,,
4,2026-10-23,Edinburgh,Lions,,,,,,,,,
4,2026-10-24,Benetton,Glasgow,,,,,,,,,
4,2026-10-24,Bulls,Ulster,,,,,,,,,
4,2026-10-24,Leinster,Munster,,,,,,,,,
4,2026-10-24,Ospreys,Dragons,,,,,,,,,
4,2026-10-24,Stormers,Scarlets,,,,,,,,,
5,2026-10-30,Connacht,Leinster,,,,,,,,,
5,2026-10-30,Glasgow,Lions,,,,,,,,,
5,2026-10-31,Benetton,Edinburgh,,,,,,,,,
5,2026-10-31,Bulls,Scarlets,,,,,,,,,
5,2026-10-31,Dragons,Zebre,,,,,,,,,
5,2026-10-31,Munster,Sharks,,,,,,,,,
5,2026-10-31,Ospreys,Cardiff,,,,,,,,,
5,2026-10-31,Stormers,Ulster,,,,,,,,,
6,2026-12-04,Edinburgh,Dragons,,,,,,,,,
6,2026-12-04,Ospreys,Leinster,,,,,,,,,
6,2026-12-05,Cardiff,Ulster,,,,,,,,,
6,2026-12-05,Glasgow,Benetton,,,,,,,,,
6,2026-12-05,Lions,Bulls,,,,,,,,,
6,2026-12-05,Scarlets,Connacht,,,,,,,,,
6,2026-12-05,Sharks,Stormers,,,,,,,,,
6,2026-12-05,Zebre,Munster,,,,,,,,,
7,2026-12-18,Munster,Scarlets,,,,,,,,,
7,2026-12-18,Ulster,Ospreys,,,,,,,,,
7,2026-12-19,Cardiff,Dragons,,,,,,,,,
7,2026-12-19,Connacht,Edinburgh,,,,,,,,,
7,2026-12-19,Leinster,Glasgow,,,,,,,,,
7,2026-12-19,Sharks,Bulls,,,,,,,,,
7,2026-12-19,Stormers,Lions,,,,,,,,,
7,2026-12-19,Zebre,Benetton,,,,,,,,,
8,2026-12-26,Dragons,Cardiff,,,,,,,,,
8,2026-12-26,Ospreys,Scarlets,,,,,,,,,
8,2026-12-27,Benetton,Zebre,,,,,,,,,
8,2026-12-27,Edinburgh,Glasgow,,,,,,,,,
8,2026-12-27,Munster,Leinster,,,,,,,,,
8,2026-12-27,Ulster,Connacht,,,,,,,,,
9,2027-01-02,Cardiff,Ospreys,,,,,,,,,
9,2027-01-02,Connacht,Munster,,,,,,,,,
9,2027-01-02,Edinburgh,Benetton,,,,,,,,,
9,2027-01-02,Leinster,Ulster,,,,,,,,,
9,2027-01-02,Scarlets,Dragons,,,,,,,,,
9,2027-01-02,Sharks,Lions,,,,,,,,,
9,2027-01-02,Zebre,Glasgow,,,,,,,,,
9,2027-01-03,Stormers,Bulls,,,,,,,,,
10,2027-01-22,Glasgow,Scarlets,,,,,,,,,
10,2027-01-22,Ulster,Sharks,,,,,,,,,
10,2027-01-23,Benetton,Bulls,,,,,,,,,
10,2027-01-23,Leinster,Dragons,,,,,,,,,
10,2027-01-23,Lions,Zebre,,,,,,,,,
10,2027-01-23,Munster,Connacht,,,,,,,,,
10,2027-01-23,Ospreys,Edinburgh,,,,,,,,,
10,2027-01-23,Stormers,Cardiff,,,,,,,,,
11,2027-01-29,Dragons,Munster,,,,,,,,,
11,2027-01-29,Glasgow,Ospreys,,,,,,,,,
11,2027-01-30,Benetton,Sharks,,,,,,,,,
11,2027-01-30,Connacht,Ulster,,,,,,,,,
11,2027-01-30,Leinster,Bulls,,,,,,,,,
11,2027-01-30,Lions,Cardiff,,,,,,,,,
11,2027-01-30,Scarlets,Edinburgh,,,,,,,,,
11,2027-01-30,Stormers,Zebre,,,,,,,,,
8,2027-02-20,Lions,Sharks,,,,,,,,,
8,2027-02-21,Bulls,Stormers,,,,,,,,,
12,2027-02-26,Dragons,Ulster,,,,,,,,,
12,2027-02-26,Munster,Benetton,,,,,,,,,
12,2027-02-27,Bulls,Sharks,,,,,,,,,
12,2027-02-27,Cardiff,Glasgow,,,,,,,,,
12,2027-02-27,Edinburgh,Leinster,,,,,,,,,
12,2027-02-27,Lions,Stormers,,,,,,,,,
12,2027-02-27,Ospreys,Connacht,,,,,,,,,
12,2027-02-27,Zebre,Scarlets,,,,,,,,,
13,2027-03-19,Connacht,Cardiff,,,,,,,,,
13,2027-03-19,Glasgow,Stormers,,,,,,,,,
13,2027-03-19,Sharks,Edinburgh,,,,,,,,,
13,2027-03-20,Bulls,Dragons,,,,,,,,,
13,2027-03-20,Leinster,Benetton,,,,,,,,,
13,2027-03-20,Munster,Ospreys,,,,,,,,,
13,2027-03-20,Scarlets,Lions,,,,,,,,,
13,2027-03-20,Ulster,Zebre,,,,,,,,,
14,2027-03-26,Glasgow,Zebre,,,,,,,,,
14,2027-03-26,Scarlets,Leinster,,,,,,,,,
14,2027-03-27,Benetton,Ulster,,,,,,,,,
14,2027-03-27,Bulls,Edinburgh,,,,,,,,,
14,2027-03-27,Cardiff,Munster,,,,,,,,,
14,2027-03-27,Connacht,Lions,,,,,,,,,
14,2027-03-27,Ospreys,Stormers,,,,,,,,,
14,2027-03-27,Sharks,Dragons,,,,,,,,,
15,2027-04-16,Dragons,Glasgow,,,,,,,,,
15,2027-04-16,Edinburgh,Cardiff,,,,,,,,,
15,2027-04-17,Leinster,Connacht,,,,,,,,,
15,2027-04-17,Lions,Munster,,,,,,,,,
15,2027-04-17,Ospreys,Bulls,,,,,,,,,
15,2027-04-17,Stormers,Benetton,,,,,,,,,
15,2027-04-17,Ulster,Scarlets,,,,,,,,,
15,2027-04-17,Zebre,Sharks,,,,,,,,,
16,2027-04-23,Cardiff,Bulls,,,,,,,,,
16,2027-04-23,Ulster,Leinster,,,,,,,,,
16,2027-04-23,Zebre,Ospreys,,,,,,,,,
16,2027-04-24,Connacht,Dragons,,,,,,,,,
16,2027-04-24,Glasgow,Edinburgh,,,,,,,,,
16,2027-04-24,Lions,Benetton,,,,,,,,,
16,2027-04-24,Scarlets,Sharks,,,,,,,,,
16,2027-04-24,Stormers,Munster,,,,,,,,,
17,2027-05-07,Dragons,Lions,,,,,,,,,
17,2027-05-07,Edinburgh,Zebre,,,,,,,,,
17,2027-05-08,Benetton,Cardiff,,,,,,,,,
17,2027-05-08,Bulls,Glasgow,,,,,,,,,
17,2027-05-08,Leinster,Stormers,,,,,,,,,
17,2027-05-08,Munster,Ulster,,,,,,,,,
17,2027-05-08,Scarlets,Ospreys,,,,,,,,,
17,2027-05-08,Sharks,Connacht,,,,,,,,,
18,2027-05-14,Edinburgh,Munster,,,,,,,,,
18,2027-05-14,Ospreys,Benetton,,,,,,,,,
18,2027-05-14,Ulster,Lions,,,,,,,,,
18,2027-05-15,Bulls,Connacht,,,,,,,,,
18,2027-05-15,Cardiff,Scarlets,,,,,,,,,
18,2027-05-15,Dragons,Stormers,,,,,,,,,
18,2027-05-15,Sharks,Glasgow,,,,,,,,,
18,2027-05-15,Zebre,Leinster,,,,,,,,,
